id,description,brand,model,mp,optical_zoom,digital_zoom,screen_size,price,type
7997,(not provided) | ge appliance a735 digital camera reviews - buzzillions.com,ge,a735,,3.0,4.5,,,
7998,ge a735 dig camera 7 0mp 3x optical 4 5x digital zoom | ebay,ge,a735,7.0,3.0,,2.5,,point & shoot
7999,(not provided) | ge appliance a830 8mp digital camera reviews - buzzillions.com,ge,a830,8.0,3.0,4.5,2.5,,
8000,ge a830 8 0 mp digital camera blue | ebay,ge,a830,8.0,3.0,,2.5,,point & shoot
8001,ge a830 8 0 mp digital camera silver 0810027010063 | ebay,ge,a830,8.0,3.0,,2.5,,point & shoot
8002,ge a830 8 0 mp digital camera black 810027010056 | ebay,ge,a830,8.0,3.0,,2.5,,point & shoot
8003,(not provided) | ge appliance a835 digital camera - 8mp reviews - buzzillions.com,ge,a835,8.0,3.0,4.5,,,
8004,ge a835 8 0 mp digital camera silver 0810027010445 | ebay,ge,a835,8.0,3.0,,2.5,,point & shoot
8005,ge a835 8 0 mp digital camera black mpn as is f parts | ebay,ge,a835,8.0,3.0,,2.5,,point & shoot
8006,ge a835 8 0 mp digital camera silver 0810027010445 | ebay,ge,a835,8.0,3.0,,2.5,,point & shoot
8007,ge a950 9 1 mp digital camera black memory card included 810027012258 | ebay,ge,a950,9.1,5.0,,2.5,,point & shoot
8008,ge a950 9 1 mp digital camera black 810027012258 | ebay,ge,a950,9.1,5.0,,2.5,,point & shoot
8009,"ge c1033 10 1 mp digital camera 3x zoom 2 4"" lcd black brand new | ebay",ge,c1033,10.1,3.0,,2.4,,point & shoot
8010,ge c1033 10 1 mp digital camera violet 0810027015976 | ebay,ge,c1033,10.1,3.0,,2.4,,point & shoot
8011,ge c1033 10 1 mp digital camera black | ebay,ge,c1033,10.1,3.0,,2.4,,point & shoot
8012,ge c1233 12 4 mp digital camera black 810027015990 | ebay,ge,c1233,12.4,3.0,,2.4,,point & shoot
8013,ge c1233 12 4 mp digital camera 8mb memory black 810027015990 | ebay,ge,c1233,12.4,3.0,,2.4,,point & shoot
8014,"ge digital camera, black, c1233-bk - walmart.com",ge,c1233-bk,,3.0,5.7,,,
8015,ge smart series 14 1 mp c1440 digital camera | ebay,ge,c1440,14.1,,,,,
8016,ge c1440w 14 1 mp digital camera black 846951003956 | ebay,ge,c1440w,14.1,4.0,,2.7,,point & shoot
8017,ge camera e1035 parts | ge appliance e1035 digital camera reviews - buzzillions.com,ge,e1035,10.0,3.0,4.5,,,
8018,(not provided) | ge appliance e1480w point & shoot digital camera reviews - buzzillions.com,ge,e1480w,14.0,5.0,5.7,,,
8019,ge e1486tw 14mp digital camera with 3 0 inch touch panel lcd ruby red 033172032678 | ebay,ge,e1486tw,14.0,8.0,,3.0,,point & shoot
8020,ge e1680 w 16 0 mp digital camera blue very nice camera 846951001228 | ebay,ge,e1680 w,16.0,8.0,,3.0,,point & shoot
8021,"ge e1680 w 16 0 mp 8x op 3 0"" lcd digital camera wide angle hdmi photography 846951001259 | ebay",ge,e1680 w,16.0,8.0,,3.0,,point & shoot
8022,ge power series e1680w 16 0 mp 8x zoom digital camera purple guaranteed 0846951002928 | ebay,ge,e1680w,16.0,8.0,,3.0,,point & shoot
8023,ge power series e1680w 16 0 mp digital camera w 8x optical zoom black 846951000573 | ebay,ge,e1680w,16.0,8.0,,3.0,,point & shoot
8024,ge black e1680w-bk power series 16 megapixel digital camera - walmart.com,ge,e1680w-bk,16.0,8.0,6.0,,,
8025,(not provided) | ge appliance g1 series compact 7 megapixel digital camera reviews - buzzillions.com,ge,g1,7.0,3.0,4.5,,,
8026,ge g100 14mp digital camera parts only 846951002805 | ebay,ge,g100,14.0,15.0,,3.0,,point & shoot
8027,ge g100 14 0 mp digital camera red 15x zoom 846951002805 | ebay,ge,g100,14.0,15.0,,3.0,,point & shoot
8028,ge power pro series g100 14 0 mp digital camera red 846951002805 | ebay,ge,g100,14.0,15.0,,3.0,,point & shoot
8029,ge g100 14 0 mp digital camera red 846951002805 | ebay,ge,g100,14.0,15.0,,3.0,,point & shoot
8030,ge h1055 working 10 1mp digital camera purple | ebay,ge,h1055,10.1,3.0,,2.7,,
8031,ge j1050 10 1 mp digital camera pink 810027013910 | ebay,ge,j1050,10.1,5.0,,2.7,,point & shoot
8032,ge appliance j1455 14mp smart series digital camera black reviews | buzzillions.com,ge,j1455,14.0,5.0,5.7,,,
8033,ge smart series j1458w 14 1 mp digital camera red 0846951003901 | ebay,ge,j1458w,14.1,5.0,,2.7,,point & shoot
8034,10 mp red digital camera | ge appliance digital camera 10mp red reviews - buzzillions.com,ge,,10.0,,,,,
8035,ge digital camera | ebay,ge,,,,,,,dig
8036,ge w1200 12 1 mp digital camera black 810027012890 | ebay,ge,w1200,12.1,3.0,,2.5,,point & shoot
8037,ge x2600 16 1 mp digital camera midnight blue | ebay,ge,x2600,16.1,,,,,bridge camera
8038,ge digital camera x2600 16 mp 26x optical zoom new in box | ebay,ge,x2600,16.0,26.0,,,,digital camera
8039,ge x2600 16 1 mp digital camera white | ebay,ge,x2600,16.1,,,,,bridge camera
8040,ge x2600 digital camera white 16 1 mp | ebay,ge,x2600,16.1,26.0,,,,digital slr
8041,"ge purple power pro series x2600-ep compact system digital camera with 16.1 megapixels, 26x optical zoom and 4.7mm-122.2mm lens included, refurbished: cameras & camcorders : walmart.com",ge,x2600-ep,16.1,26.0,5.0,,,
8042,ge power pro series x400 14 0 mp digital camera black kit w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8043,ge power pro series x400 14 0 mp digital camera black kit w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8044,ge power pro series x400 14 0 mp digital camera black kit w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8045,ge power pro series x400 14 0 mp digital camera black 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8046,ge power pro series x400 14 0 mp digital camera black kit w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8047,"brand new ge x400 14 0 mp digital camera w 15x zoom and 2 7"" lcd gex400 black 846951003796 | ebay",ge,x400,14.0,15.0,,,,
8048,ge power pro series x400 14 0 mp digital camera black w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8049,"brand new ge x400 14 0 mp digital camera w 15x zoom and 2 7"" lcd black 846951003796 | ebay",ge,x400,14.0,15.0,,2.7,,bridge camera
8050,ge power pro x400 black 14mp digital camera w 15x optical zoom c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8051,ge powerpro x400 14mp 15x optical zoom digital camera model c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8052,ge power pro series x400 14 0 mp digital camera black 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8053,ge x400 14 0mp camera new in box excellent condition 846951003796 | ebay,ge,x400,14.0,,,,,
8054,ge power pro series x400 14 0 mp digital camera black kit w 4 9 73 5mm lens 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8055,ge power pro x400 black 14mp digital camera w 15x optical zoom c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8056,ge powerpro x400 14mp 15x optical zoom digital camera model c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8057,ge power pro series x400 14 0 mp digital camera black w extras 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8058,ge powerpro x400 14mp 15x optical zoom digital camera c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8059,ge powerpro x400 14mp 15x optical zoom digital camera c4144 846951003796 | ebay,ge,x400,14.0,15.0,,2.7,,bridge camera
8060,ge x400 black 14mp digital camera - walmart.com,ge,x400,14.0,15.0,6.0,,,
8061,ge power pro series digital camera x450 white 16 mp 25x optical zoom | ebay,ge,x450,16.0,,,,,
8062,"ge power pro camera, x450 - walmart.com",ge,x450,,25.0,,,,
8063,"ge power pro camera, x450 - walmart.com",ge,x450,,25.0,,,,
8064,"ge power pro camera, x450 - walmart.com",ge,x450,,25.0,,,,
8065,"ge power pro camera, x450 - walmart.com",ge,x450,,25.0,,,,
8066,ge x5 semi pro | ge appliance x5 power pro digital camera reviews - buzzillions.com,ge,x5,,15.0,5.7,,,
8067,ge x5 power series 14 mp digital camera 15x optical zoom 2 7 lcd 27mm wide angle | ebay,ge,x5,14.0,15.0,,,,digital slr
8068,ge x5 power pro series 14 1 mp digital camera with 15x optical zoom w case | ebay,ge,x5,14.1,15.0,,2.7,,bridge camera
8069,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8070,ge power pro series x500 16 0 mp digital camera white 846951000566 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8071,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8072,ge power pro series x500 16 0 mp digital camera black for parts or repair 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8073,white ge power pro x500 wh 16 mp w 15 x optical zoom digital camera 846951002942 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8074,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8075,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8076,ge x500 digital camera 16 mp 15x zoom memory card batteries 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8077,ge power pro series x500 16 0 mp digital camera burgundy red 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8078,ge power pro series x500 16 0 mp digital camera black | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8079,ge series x500 16 0 mp digital camera blue with case 32gb card card reader 846951000566 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8080,ge power pro x500 wh 16 mp w 15x opt zoom digital camera white 846951000566 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8081,ge power pro series x500 16 0 mp digital camera white 846951000566 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8082,ge power pro series x500 16 0 mp digital camera burgundy red 846951002942 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8083,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8084,ge power pro series x500 16 0 mp digital camera black 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8085,ge general imaging x500 16 mp digital camera black 15x optcal zoom 846951000559 | ebay,ge,x500,16.0,15.0,,,,digital slr
8086,ge digital camera x500 16mp 15x optical zoom | ebay,ge,x500,16.0,15.0,,,,
8087,ge x500 16 0 mp digital camera black free s h 846951000559 | ebay,ge,x500,16.0,15.0,,2.7,,bridge camera
8088,"(not provided) | ge appliance power pro x500-bk 16 mp with 15 x optical zoom digital camera, black reviews - buzzillions.com",ge,x500-bk,16.0,,,,,
8089,ge power pro series x550 16 1 mp 15x optical zoom digital camera black 846951003925 | ebay,ge,x550,16.1,15.0,,2.7,,bridge camera
8090,ge power pro x550 16 1 mp digital camera black 4gb sd carrying case 846951003925 | ebay,ge,x550,16.1,15.0,,2.7,,bridge camera
8091,blue ge power pro x550 16 mp with15 x optical zoom digital camera black 2 7 lcd 846951003925 | ebay,ge,x550,16.0,,,2.7,,
8092,ge power pro x550 16 1 mp digital camera black 4gb sd carrying case 846951003925 | ebay,ge,x550,16.1,15.0,,,,point & shoot
8093,ge digital camera power pro series x550 16 megapixel | ebay,ge,x550,16.0,,,,,
8094,ge x550 digital camera - walmart.com,ge,x550,,15.0,,,,
8095,ge x550 digital camera - walmart.com,ge,x550,,15.0,,,,
8096,ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8097,ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8098,ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8099,white ge x600 14 4 megpixel zoom carmera 846951004045 | ebay,ge,x600,,16.0,,,,digital slr
8100,brand new ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8101,ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8102,brand new ge power pro series x600 14 4 mp digital camera white latest model 846951004045 | ebay,ge,x600,14.4,25.0,,2.7,,bridge camera
8103,"buy general electric consumer a1235 digital camera, 12.2mp, 3x zoom, cameras - digital - point & shoot a1235-pk today at pc connection",general,a1235,12.2,,,,,compact
8104,"buy general electric consumer a950 digital camera, 9.1mp, 5x zoom, cameras - digital - point & shoot a950-rd today at pc connection",general,a950,9.1,,,,,compact
8105,"general electric pj1 digital camera prices, shopping comparison for general electric pj 1, buy online in india - shopmania",general,pj1,,,6.0,,,
8106,general imaging co model t123 12 2 mp 3x optical zoom 810027019868 | ebay,general,t123,12.2,3.0,,2.7,,point & shoot
8107,"general electric power pro series x2600 black digital camera kit w/ 4.7-122.2 mm lens (16.08 mp, 26x opt, sd/sdhc card slot) price comparison at buy.net",general,x2600,16.1,,,,,point & shoot digital camera
8108,"general electric x450 black digital camera (16 mp, 25x opt, sd/sdhc card slot) price comparison at buy.net",general,x450,16.0,,,,,point & shoot digital camera
8109,general electric x5 image stabilization digital camera color is white 14 1 mp | ebay,general,x5,14.1,15.0,,2.7,,bridge camera
8110,"general electric x500 digital camera prices, shopping comparison for general electric x 500, buy online in india - shopmania",general,x500,,,6.0,2.7,,
8111,general imaging ge x600 wh 14mp digital camera 26x opitcal zoom 2 7 inch lcd | ebay,general,x600,14.0,,,,,
8112,mini smartphone gopro selfie camera monopod cases for iphone 4/4s for photo video - buy monopod cases for iphone 4/4s for photo video product on alibaba.com,gopro,4s,,,,,999.0,
8113,"neopine waterproof gopro case for canon canon 6d/5d - ne-slr l - buy camera bag,neopine,digital camera bag product on alibaba.com",gopro,6d,,,,,10.0,
8114,"factory wholesale gopro eva box case for gopro sport camera,adk-gp39 - buy gopro box,eva gopro box,eva box for gopro camera product on alibaba.com",gopro,adk-gp39,,,,,4.0,
8115,"smatree smacase dj-a3200 miliartary grade industrial abs quadcopter hard carry case for gopro hero camera - buy for gopro phantom case,for gopro accessories,smatree case for gopro product on alibaba.com",gopro,dj-a3200,,,,,10.0,
8116,"winait action camera waterproof remote control for gopro sport camera dv-126sa+ - buy winait action camera waterproof remote control for gopro sport camera dv-126sa+,high quality waterproof full hd 1080p sport camera,wifi sport camera product on alibaba.com",gopro,dv-126sa+,,,,,100.0,
8117,"e9000 new gopro design the world smallest p2p hd 720p multi-function wifi camera - buy wifi camera,sport camera,ip wifi camera product on alibaba.com",gopro,e9000,,,,,70.0,
8118,mini hd 720p 1 3mp waterproof video sports action helmet camcorder camera f22 | ebay,gopro,f22,1.3,,,,,helmet/action
8119,"2014 new arrival! 2.0"" touch display gopro f5 waterproof camera - buy f5 waterproof sport camera,waterproof hidden camera,f5 waterproof sport camera product on alibaba.com",gopro,f5,,,,,,
8120,"black & blue g160b smatree case for gopro hero 1.2.3/3+ replacement - buy for gopro hero case,for gopro accessories,smatree case for gopro product on alibaba.com",gopro,g160b,,,,,10.0,
8121,"smatree g160b case for gopro hero1,2,3/3+ camera with hot sale - buy camera case for gopro,for gopro case,smatree case for gopro product on alibaba.com",gopro,g160b,,,,,10.0,
8122,"for gopro accessories gopro eva box,gopro case,gp102 - buy gopro case,gopro case,gopro accessories product on alibaba.com",gopro,gp102,,,,,10.0,
8123,"for gopro accessories gopro eva box,bag case for gopro,gp102 - buy gopro bag,gopro case,gopro accessories product on alibaba.com",gopro,gp102,,,,,10.0,
8124,go pro hd2 outdoor hero camera never used pristine ready for use | ebay,gopro,hd2,11.0,,,,,mini digital camera
8125,"black smatree case replacement for gopro hero 1,hero 2,hero3/3+ - buy camera bag for gopro,for gopro case,smatree case for gopro product on alibaba.com",gopro,hero 1,,,,,30.0,
8126,"new travel storage box camera parts bag case for gopro hero 1 2 3 accessories - buy gopro case,digital camera spare parts,go pro accessories product on alibaba.com",gopro,hero 1,,,,,10.0,
8127,"eva gopro carry case for gopro hero 1/2/3/3+,gopro accessories - buy gopro carry case,carry case for gopro,gopro eva carry case product on alibaba.com",gopro,hero 1,,,,,,
8128,"30m underwater submersible protector waterproof housing case for gopro hero 1 2 - buy waterproof case,waterproof case for swimming,underwater case for gopro product on alibaba.com",gopro,hero 1,,,,,20.0,
8129,"gopro carry case for gopro hero 1/2/3/3+,gopro eva carry case for protective - buy gopro carry case,carry case for gopro,gopro eva carry case product on alibaba.com",gopro,hero 1,,,,,30.0,
8130,"45m waterproof protective housing protective case for gopro hd hero 1 2 camera - buy protective case for gopro,waterproof case for swimming,underwater case for gopro product on alibaba.com",gopro,hero 1,,,,,20.0,
8131,"2014 new for gopro pov case 3.0 small gopro-edition black for gopro hero 1/2/3/3+ - buy pov case 3.0 small gopro-edition black,pov case,gopro-edition black pov case product on alibaba.com",gopro,hero 1,,,,,12.0,
8132,"travel carrying protective case bag for gopro hero 1 2 3 3+ camera black - buy gopro accessories,bags for camcorder,gopro hero3 black edition product on alibaba.com",gopro,hero 1,,,,,7.0,
8133,"absee large size carry case bag protection for gopro hero 1 2 3 3+ camera black - buy carry case for gopro camera and accessories,carry case for gopro,carry eva case for gopro product on alibaba.com",gopro,hero 1,,,,,1.5,
8134,"fashion small carry case eva bag protection for gopro hero 1 2 3 3+ camera - buy camera stabilizer,camera bag,camera bag product on alibaba.com",gopro,hero 1,,,,,7.0,
8135,"small digital camera bag for gopro hero 1 2 3 camera - buy digital camera bag,gopro camera case,gopro parts product on alibaba.com",gopro,hero 1,,,,,5.2,
8136,"blue case for gopro hero 1/2/3/3+ with smatree logo replacement - buy for gopro case,for gopro,smatree case for gopro product on alibaba.com",gopro,hero 1,,,,,10.0,
8137,"waterproof protective housing case with lens for sport camera gopro hd hero 1 2 - buy universal waterproof camera case,plastic camera case waterproof,waterproof case for swimming product on alibaba.com",gopro,hero 1,,,,,20.0,
8138,"digital camera spare parts small camera case for gopro hero 1 2 3 camera - buy digital camera spare parts,gopro camera case,gopro parts product on alibaba.com",gopro,hero 1,,,,,5.2,
8139,"for gopro hero 1 hero 2 gopro standard waterproof housing case underwater 30m - buy waterproof case for swimming,waterproof case for swimming,dsi replacement housing case product on alibaba.com",gopro,hero 1,,,,,20.0,
8140,"adika 2014 hot selling for gopro eva case for gopro hero 1/2/3/3+,gopro accessories case - buy gopro eva case,gopro accessories case,eva case for gopro product on alibaba.com",gopro,hero 1,,,,,12.0,
8141,"hot selling wholesale customized shockproof protect traveling case for gopro hero 1/2/3/3+. - buy wholesale customized eva case,wholesale case for gopro,customized eva case product on alibaba.com",gopro,hero 1,,,,,1.5,
8142,"transparent waterproof housing protector case for gopro hero 1 gopro hero 2 - buy transparent waterproof housing for gopro,waterproof underwater housing case,camera waterproof case product on alibaba.com",gopro,hero 1,,,,,20.0,
8143,"45m underwater waterproof transparent housing case for gopro hd hero 1 hero 2 - buy waterproof case for swimming,waterproof transparent housing case for gopro,waterproof transparent housing case for gopro product on alibaba.com",gopro,hero 1,,,,,20.0,
8144,gopro hero 1st edition barely used | ebay,gopro,hero 1st,,,,,,point & shoot
